Index,Phrase,Tier,Event Tag,Location
0,hello,Tier 1,General,
1,bobber,Tier 1,General,
2,maggot,Tier 1,General,
3,inventory,Tier 1,General,
4,Black Bear,Tier 1,General,
5,Rosa Acicularis,Tier 1,General,
6,Pine Tree,Tier 1,General,
7,Grasshopper,Tier 1,General,
8,Biboo Tax,Tier 1,General,
9,cloak and dagger,Tier 1,General,
10,red herring,Tier 1,General,
11,Darius,Tier 1,General,
12,Aaron,Tier 1,General,
13,turn the tide,Tier 1,General,
14,death is inevitable,Tier 1,General,
15,divide and conquer,Tier 1,General,
16,hospital bed,Tier 1,General,
17,laughably,Tier 1,General,
18,as strong as its weakest link,Tier 1,General,
19,ere on the side of caution,Tier 1,General,
20,Those who stand,Tier 1,General,
21,should never outnumber,Tier 1,General,
22,those who kneel,Tier 1,General,
23,Fine line between,Tier 1,General,
24,consideration and hesitation,Tier 1,General,
25,former is wisdom,Tier 1,General,
26,latter is fear,Tier 1,General,
27,justice is served,Tier 1,General,
28,get it twisted,Tier 1,General,
29,locked in,Tier 1,General,
30,Whatcha buying,Tier 1,General,
31,security system,Tier 1,General,
32,Great-Horned Owl,Tier 2,General,
33,Pinus contorta,Tier 2,General,
34,Phoenix,Tier 2,General,
35,I was crazy once,Tier 2,General,
36,six-shooter,Tier 2,General,
37,mountain out of molehills,Tier 2,General,
38,ha-ha-ha-ha,Tier 2,General,
39,Overconfidance; an insidious killer,Tier 2,General,
40,Hallowe'en,Tier 2,General,
41,Itch.io,Tier 2,General,
42,damn; there's air on me,Tier 2,General,
43,by the skin of your teeth,Tier 3,General,
44,Prepare; persist; and overcome,Tier 3,General,
45,belief is the strongest metal of them all,Tier 3,General,
46,Darius; Aaron; and Jett,Tier 3,General,
47,Fire,Tier 0,Accident,
48,The definition of pain,Tier 0,Accident,
49,unconscious,Tier 0,Accident,
50,in the,Tier 0,Accident,
51,and all that remains,Tier 0,Accident,
52,is the feeling,Tier 0,Accident,
53,of,Tier 0,Accident,
54,as the sounds of sirens,Tier 0,Accident,
55,surrounds the scenery;,Tier 1,Accident,
56,intertwined with the screams of terror.,Tier 1,Accident,
57,passenger’s seat.,Tier 1,Accident,
58,Momentarily,Tier 1,Accident,
59,dread;,Tier 1,Accident,
60,paints the elder brother’s face.,Tier 2,Accident,
61,before finding their younger sibling,Tier 2,Accident,
62,overtake the screams of the fire.,Tier 2,Accident,
63,He looks around; frantically;,Tier 3,Accident,
64,; the pain leaves him;,Tier 3,Accident,
65,wake up,Tier 0,Wake Up,
66,WAKE UP,Tier 0,Wake Up,
67,WaKe uP,Tier 0,Wake Up,
68,their plans on,Tier 0,Pre-party,
69,are you still down,Tier 0,Pre-party,
70,to head,Tier 0,Pre-party,
71,to the beach,Tier 0,Pre-party,
72,for confirmation.,Tier 0,Pre-party,
73,for you to talk to,Tier 0,Pre-party,
74,the elder brother,Tier 0,Pre-party,
75,but that just means,Tier 0,Pre-party,
76,to take it easy!,Tier 0,Pre-party,
77,Even for a bit.,Tier 0,Pre-party,
78,We both know you,Tier 0,Pre-party,
79,reluctantly agreeing to,Tier 0,Pre-party,
80,their brother’s suggestion.,Tier 0,Pre-party,
81,it’ll be good to have,Tier 0,Pre-party,
82,a break;,Tier 0,Pre-party,
83,Two siblings are celebrating,Tier 1,Pre-party,
84,their living room couch.,Tier 1,Pre-party,
85,The eldest takes a swig,Tier 1,Pre-party,
86,from his drink;,Tier 1,Pre-party,
87,before glancing at his younger sibling,Tier 1,Pre-party,
88,you’ve gotta study;,Tier 1,Pre-party,
89,now’s as good of a time as any,Tier 1,Pre-party,
90,The youngest looks down and sighs;,Tier 1,Pre-party,
91,to have some kind of change of pace.,Tier 1,Pre-party,
92,the younger’s graduation; discussing,Tier 2,Pre-party,
93,“Hey; so,Tier 2,Pre-party,
94,lightly taps the youngest with his elbow;,Tier 2,Pre-party,
95,“Look; I know,Tier 2,Pre-party,
96,push yourself too hard.”,Tier 2,Pre-party,
97,Maybe he’s right;,Tier 2,Pre-party,
98,over the weekend?”,Tier 3,Pre-party,
99,“It’ll be a good chance,Tier 3,Pre-party,
100,some new people; y’know?”,Tier 3,Pre-party,
101,buy,Tier 0,General,
102,tied,Tier 0,General,
103,tried,Tier 0,General,
104,fry,Tier 0,General,
105,fish,Tier 0,General,
106,bass,Tier 0,General,
107,vast,Tier 0,General,
108,sea,Tier 0,General,
109,rod,Tier 0,General,
110,line,Tier 0,General,
111,bug,Tier 0,General,
112,glue,Tier 0,General,
113,wood,Tier 0,General,
114,bomb,Tier 0,General,
115,water,Tier 0,General,
116,float,Tier 0,General,
117,walking,Tier 0,General,
118,smith,Tier 0,General,
119,bear,Tier 0,General,
120,owl,Tier 0,General,
121,camping,Tier 0,General,
122,campfire,Tier 0,General,
